Label,URI,Comment
cod,https://smartdatamodels.org/dataModel.WaterQuality/cod,Chemical oxygen demand (COD) is an indicative measure of the amount of oxygen that can be consumed by reactions in a measured solution
conductance,https://smartdatamodels.org/dataModel.WaterQuality/conductance,Specific Conductance
conductivity,https://smartdatamodels.org/dataModel.WaterQuality/conductivity,Electrical Conductivity
enterococci,https://smartdatamodels.org/dataModel.WaterQuality/enterococci,Concentration of Enterococci
escherichiaColi,https://smartdatamodels.org/dataModel.WaterQuality/escherichiaColi,Concentration of Escherichia coli
fluoride,https://smartdatamodels.org/dataModel.WaterQuality/fluoride,Concentration of fluoride
non-ionic-surfactants,https://smartdatamodels.org/dataModel.WaterQuality/non-ionic-surfactants,Concentration of non-ionic surfactants
orp,https://smartdatamodels.org/dataModel.WaterQuality/orp,Oxidation-Reduction potential
pH,https://smartdatamodels.org/dataModel.WaterQuality/pH,Acidity or basicity of an aqueous solution
pH,https://saref.etsi.org/saref4watr/HydrogenIonConcentration,Property of the water indicating its hydrogen ion concentration.
salinity,https://smartdatamodels.org/dataModel.WaterQuality/salinity,Amount of salts dissolved in water
sulphate,https://smartdatamodels.org/dataModel.WaterQuality/sulphate,Concentration of sulfate
sulphite,https://smartdatamodels.org/dataModel.WaterQuality/sulphite,Concentration of sulphite
tds,https://smartdatamodels.org/dataModel.WaterQuality/tds,Total dissolved solids
total-surfactants,https://smartdatamodels.org/dataModel.WaterQuality/total-surfactants,Concentration of total surfactants
tss,https://smartdatamodels.org/dataModel.WaterQuality/tss,Total suspended solids
turbidity,https://smartdatamodels.org/dataModel.WaterQuality/turbidity,Amount of light scattered by particles in the water column
waterQualityPredictionValue,https://smartdatamodels.org/dataModel.WaterQuality/waterQualityPredictionValue,Describes a summary of the water quality prediction
Property,https://saref.etsi.org/core/Property,An aspect of an entity that can be observable by a sensor.
Property,https://saref.etsi.org/core/Property,"Anything that can be sensed, measured or controlled in households, common public buildings or offices. We propose here a list of properties that are relevant for the purpose of SAREF, but this list can be extended."
Property,https://saref.etsi.org/core/Property,An aspect of an entity that can be observable by a sensor.
Property,https://saref.etsi.org/core/Property,"Anything that can be sensed, measured or controlled in households, common public buildings or offices. We propose here a list of properties that are relevant for the purpose of SAREF, but this list can be extended."
Measurement,https://saref.etsi.org/core/Measurement,Represents the measured value made over a property. It is also linked to the unit of measure in which the value is expressed and the timestamp of the measurement.
Unit of measure,https://saref.etsi.org/core/UnitOfMeasure,"The unit of measure is a standard for measurement of a quantity, such as a Property. For example,  Power is a property and Watt is a unit of power that represents a definite predetermined power: when we say 10 Watt, we actually mean 10 times the definite predetermined power called ""watt"". Our definition is based on the definition of unit of measure in the Ontology of units of Measure (OM). We propose here a list of some units of measure that are relevant for the purpose of the Smart Appliances ontology, but this list can be extended."
Unit of measure,https://saref.etsi.org/core/UnitOfMeasure,"The unit of measure is a standard for measurement of a quantity, such as a Property. For example,  Power is a property and Watt is a unit of power that represents a definite predetermined power: when we say 10 Watt, we actually mean 10 times the definite predetermined power called ""watt"". Our definition is based on the definition of unit of measure in the Ontology of units of Measure (OM). We propose here a list of some units of measure that are relevant for the purpose of SAREF, but this list can be extended, also using some other ontologies rather than the Ontology of units of Measure (OM)."
Feature of interest,https://saref.etsi.org/core/FeatureOfInterest,A feature of interest represents any real world entity from which a property is measured
Humidity,https://saref.etsi.org/core/Humidity,A saref:Property related to some measurements that are characterized by a certain value that is measured in a humidity unit
Humidity,https://saref.etsi.org/saref4watr/Humidity,Property of the environment indicating the humidity.
Temperature,https://saref.etsi.org/core/Temperature,"A saref:Property related to some measurements that are characterized by a certain value that is measured in a temperature unit (degree_Celsius, degree_Fahrenheit, or degree_kelvin)"
Temperature,https://saref.etsi.org/saref4watr/Temperature,Property of the water indicating its temperature.
Water Level,http://purl.org/iot/vocab/m3-lite#WaterLevel,"The height reached by the water in a reservoir, river, storage tank, or similar."
Acceptability property,https://saref.etsi.org/saref4watr/AcceptabilityProperty,An acceptability property is a property of water that is related to its acceptability.
Bacterial property,https://saref.etsi.org/saref4watr/BacterialProperty,A bacterial property is a property of water that is related to bacteria.
ChemicalProperty,https://saref.etsi.org/saref4watr/ChemicalProperty,A chemical property is a property of water that is related to chemical components.
Environmental property,https://saref.etsi.org/saref4watr/EnvironmentalProperty,Class to group those properties related to the environment.
Gauging station,https://saref.etsi.org/saref4watr/GaugingStation,A gauging station is an infrastructure to monitor and test terrestrial bodies of water.
Lagoon,https://saref.etsi.org/saref4watr/Lagoon,A lagoon is a shallow body of water separated from a larger body of water by barrier islands or reefs.
Lake,https://saref.etsi.org/saref4watr/Lake,"A lake is an area filled with water, localized in a basin, surrounded by land, apart from any river or other outlet that serves to feed or drain the lake."
Microbial property,https://saref.etsi.org/saref4watr/MicrobialProperty,A microbial property is a property of water that is related to microbes.
Monitoring infrastructure,https://saref.etsi.org/saref4watr/MonitoringInfrastructure,A monitoring infrastructure is an infrastructure to monitor water.
Source asset,https://saref.etsi.org/saref4watr/SourceAsset,A source asset is a water asset that is a natural source of water.
Treatment plant,https://saref.etsi.org/saref4watr/TreatmentPlant,A treatment plant is an infrastructure to improve the quality of water to make it more acceptable for a specific end-use.
Water,https://saref.etsi.org/saref4watr/Water,This class is used to define a particular quantity or body of water.
Water asset,https://saref.etsi.org/saref4watr/WaterAsset,"A water asset is a physical entity used in the process of transporting, treating, storing and distributing water."
Water asset,https://saref.etsi.org/saref4watr/WaterAsset,A water infrastructure is a complex system and each of its subsystems may be defined as a water asset
Water infrastructure,https://saref.etsi.org/saref4watr/WaterInfrastructure,"A water infrastructure is the set of facilities, services, and installations needed for water management."
Water infrastructure,https://saref.etsi.org/saref4watr/WaterInfrastructure,A water infrastructure is a complex system and each of its subsystems may be defined as a water asset
Water property,https://saref.etsi.org/saref4watr/WaterProperty,Class to group those properties related to the water.
WeatherObserved,https://smartdatamodels.org/dataModel.Weather/WeatherObserved,An observation of weather conditions at a certain place and time
WeatherForecast,https://smartdatamodels.org/dataModel.Weather/WeatherForecast,A harmonised description of a Weather Forecast
WaterObserved,https://smartdatamodels.org/dataModel.Environment/WaterObserved,"Represents the parameters of flow, level and volume of water observed, as well as the swell information, over a fixed or variable area. This observation also includes the masses of floating objects on this area. The data collected is provided by Sensors, Cameras,Water stations positioned at specific or sensitive locations for rivers, streams, torrent, lakes, seas, etc."
WaterQualityObserved,https://smartdatamodels.org/dataModel.WaterQuality/WaterQualityObserved,"Represents water quality parameters at a certain water mass (river, lake, sea, etc.) section"
WaterQualityPredicted,https://smartdatamodels.org/dataModel.WaterQuality/WaterQualityPredicted,"Represents predictions of water quality at a certain water mass (river, lake, sea, etc.) section"
Layer,http://purl.oclc.org/NET/ssnx/cf/cf-feature#Layer,A cf-feature:Layer is something that is a ssn:FeatureOfInterest
Medium,http://purl.oclc.org/NET/ssnx/cf/cf-feature#Medium,A cf-feature:Medium is something that is a ssn:FeatureOfInterest
Precipitation,http://purl.oclc.org/NET/ssnx/cf/cf-feature#Precipitation,A cf-feature:Precipitation is something that is a ssn:FeatureOfInterest
Surface,http://purl.oclc.org/NET/ssnx/cf/cf-feature#Surface,A cf-feature:Surface is something that is a ssn:FeatureOfInterest
Surface Layer,http://purl.oclc.org/NET/ssnx/cf/cf-feature#SurfaceLayer,A cf-feature:SurfaceLayer is something that is a ssn:FeatureOfInterest
Surface Medium,http://purl.oclc.org/NET/ssnx/cf/cf-feature#SurfaceMedium,A cf-feature:SurfaceMedium is something that is a ssn:FeatureOfInterest
Surface Medium Medium,http://purl.oclc.org/NET/ssnx/cf/cf-feature#SurfaceMediumMedium,A cf-feature:SurfaceMediumMedium is something that is a ssn:FeatureOfInterest
Wind,http://purl.oclc.org/NET/ssnx/cf/cf-feature#Wind,A cf-feature:Wind is something that is a ssn:FeatureOfInterest
decibel-milliwatts,http://dbpedia.org/resource/DBM,a unit for power measurement
degree Celsius,http://www.ontology-of-units-of-measure.org/resource/om-2/degreeCelsius,The degree Celsius is a unit of temperature defined as 1 kelvin.
millibar,http://www.ontology-of-units-of-measure.org/resource/om-2/millibar,The millibar is a unit of pressure defined as 1.0e-3 bar.
millimetre,http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre,The millimetre is a unit of length defined as 1.0e-3 metre.
millivolt,http://www.ontology-of-units-of-measure.org/resource/om-2/millivolt,The millivolt is a unit of Voltage
Acrylamide,https://saref.etsi.org/saref4watr/Acrylamide,Property of the water indicating its concentration of acrylamide.
Aluminium,https://saref.etsi.org/saref4watr/Aluminium,Property of the water indicating its concentration of aluminium.
Ammonium,https://saref.etsi.org/saref4watr/Ammonium,Property of the water indicating its concentration of ammonium.
Antimony,https://saref.etsi.org/saref4watr/Antimony,Property of the water indicating its concentration of antimony.
Atmospheric pressure,https://saref.etsi.org/saref4watr/AtmosphericPressure,Property of the environment indicating the atmospheric pressure.
Arsenic,https://saref.etsi.org/saref4watr/Arsenic,Property of the water indicating its concentration of arsenic.
Benzene,https://saref.etsi.org/saref4watr/Benzene,Property of the water indicating its concentration of benzene.
Benzo(a)pyrene,https://saref.etsi.org/saref4watr/Benzoapyrene,Property of the water indicating its concentration of benzo(a)pyrene.
Boron,https://saref.etsi.org/saref4watr/Boron,Property of the water indicating its concentration of boron.
Bromate,https://saref.etsi.org/saref4watr/Bromate,Property of the water indicating its concentration of bromate.
Cadmium,https://saref.etsi.org/saref4watr/Cadmium,Property of the water indicating its concentration of cadmium.
Chloride,https://saref.etsi.org/saref4watr/Chloride,Property of the water indicating its concentration of chloride.
Chromium,https://saref.etsi.org/saref4watr/Chromium,Property of the water indicating its concentration of chromium.
Clostridium perfringens,https://saref.etsi.org/saref4watr/ClostridiumPerfringens,Property of the water indicating its concentration of clostridium perfringens.
Coliform bacteria,https://saref.etsi.org/saref4watr/ColiformBacteria,Property of the water indicating its concentration of coliform bacteria.
Colony count at 22 Â°C,https://saref.etsi.org/saref4watr/ColonyCount22C,Property of the water indicating its colony count at 22 ÂºC.
Colony count at 37 Â°C,https://saref.etsi.org/saref4watr/ColonyCount37C,Property of the water indicating its colony count at 37 ÂºC.
Colour,https://saref.etsi.org/saref4watr/Colour,Property of the water indicating its colour.
Conductivity,https://saref.etsi.org/saref4watr/Conductivity,Property of the water indicating its conductivity.
Copper,https://saref.etsi.org/saref4watr/Copper,Property of the water indicating its concentration of copper.
Cyanide,https://saref.etsi.org/saref4watr/Cyanide,Property of the water indicating its concentration of cyanide.
Enterococci,https://saref.etsi.org/saref4watr/Enterococci,Property of the water indicating its concentration of enterococci.
Epichlorohydrin,https://saref.etsi.org/saref4watr/Epichlorohydrin,Property of the water indicating its concentration of epichlorohydrin.
E. coli,https://saref.etsi.org/saref4watr/EscherichiaColi,Property of the water indicating its concentration of escherichia coli.
Escherichia coli,https://saref.etsi.org/saref4watr/EscherichiaColi,Property of the water indicating its concentration of escherichia coli.
External temperature,https://saref.etsi.org/saref4watr/ExternalTemperature,Property of the environment indicating the temperature.
Fluoride,https://saref.etsi.org/saref4watr/Fluoride,Property of the water indicating its concentration of fluoride.
Hardness,https://saref.etsi.org/saref4watr/Hardness,Property of the water indicating its hardness.
Hydrogen ion concentration,https://saref.etsi.org/saref4watr/HydrogenIonConcentration,Property of the water indicating its hydrogen ion concentration.
Iron,https://saref.etsi.org/saref4watr/Iron,Property of the water indicating its concentration of iron.
Lead,https://saref.etsi.org/saref4watr/Lead,Property of the water indicating its concentration of lead.
Manganese,https://saref.etsi.org/saref4watr/Manganese,Property of the water indicating its concentration of manganese.
Mercury,https://saref.etsi.org/saref4watr/Mercury,Property of the water indicating its concentration of mercury.
Nickel,https://saref.etsi.org/saref4watr/Nickel,Property of the water indicating its concentration of nickel.
Nitrate,https://saref.etsi.org/saref4watr/Nitrate,Property of the water indicating its concentration of nitrate.
Nitrite,https://saref.etsi.org/saref4watr/Nitrite,Property of the water indicating its concentration of nitrite.
Odour,https://saref.etsi.org/saref4watr/Odour,Property of the water indicating its odour.
Oxidisability,https://saref.etsi.org/saref4watr/Oxidisability,Property of the water indicating its oxidisability.
Oxygen,https://saref.etsi.org/saref4watr/Oxygen,Property of the water indicating its oxygen saturation.
Oxygen saturation,https://saref.etsi.org/saref4watr/Oxygen,Property of the water indicating its oxygen saturation.
Dissolved oxygen,https://saref.etsi.org/saref4watr/Oxygen,Property of the water indicating its oxygen saturation.
Polycyclic aromatic hydrocarbons,https://saref.etsi.org/saref4watr/PolycyclicAromaticHydrocarbons,Property of the water indicating its concentration of polycyclic aromatic hydrocarbons.
Precipitation,https://saref.etsi.org/saref4watr/Precipitation,Property of the environment indicating the precipitation.
Pseudomonas aeruginosa,https://saref.etsi.org/saref4watr/PseudomonasAeruginosa,Property of the water indicating its concentration of pseudomonas aeruginosa.
Selenium,https://saref.etsi.org/saref4watr/Selenium,Property of the water indicating its concentration of selenium.
Sodium,https://saref.etsi.org/saref4watr/Sodium,Property of the water indicating its concentration of sodium.
Sulphate,https://saref.etsi.org/saref4watr/Sulphate,Property of the water indicating its concentration of sulphate.
Taste,https://saref.etsi.org/saref4watr/Taste,Property of the water indicating its taste.
Tetrachloroethene,https://saref.etsi.org/saref4watr/Tetrachloroethene,Property of the water indicating its concentration of tetrachloroethene.
Total indicative dose,https://saref.etsi.org/saref4watr/TotalIndicativeDose,Property of the water indicating its total indicative dose.
Total dissolved solids,https://saref.etsi.org/saref4watr/TotalDissolvedSolids,Property of the water indicating the dissolved combined content of all inorganic and organic substances present in a sample of water.
TOC,https://saref.etsi.org/saref4watr/TotalOrganicCarbon,Property of the water indicating its concentration of total organic carbon.
Total organic carbon,https://saref.etsi.org/saref4watr/TotalOrganicCarbon,Property of the water indicating its concentration of total organic carbon.
Total suspended solids,https://saref.etsi.org/saref4watr/TotalSuspendedSolids,"Property of the water indicating the dry-weight of suspended particles, that are not dissolved, in a sample of water."
Trichloroethene,https://saref.etsi.org/saref4watr/Trichloroethene,Property of the water indicating its concentration of trichloroethene.
Trihalomethanes,https://saref.etsi.org/saref4watr/Trihalomethanes,Property of the water indicating its concentration of trihalomethanes.
Tritium,https://saref.etsi.org/saref4watr/Tritium,Property of the water indicating its concentration of tritium.
Turbidity,https://saref.etsi.org/saref4watr/Turbidity,Property of the water indicating its turbidity.
Vinyl chloride,https://saref.etsi.org/saref4watr/VinylChloride,Property of the water indicating its concentration of vinyl chloride.
"1,2-dichloroethane",https://saref.etsi.org/saref4watr/12Dichloroethane,"Property of the water indicating its concentration of 1,2-dichloroethane."
water,http://purl.oclc.org/NET/ssnx/cf/cf-feature#water,water
air,http://purl.oclc.org/NET/ssnx/cf/cf-feature#air,
cloud base air,http://purl.oclc.org/NET/ssnx/cf/cf-feature#cloud_base_air,
convective cloud top air,http://purl.oclc.org/NET/ssnx/cf/cf-feature#cloud_top_air,
convective cloud top air,http://purl.oclc.org/NET/ssnx/cf/cf-feature#convective_cloud_top_air,
convective cloud base air,http://purl.oclc.org/NET/ssnx/cf/cf-feature#convective_cloud_base_air,
freezing level air,http://purl.oclc.org/NET/ssnx/cf/cf-feature#freezing_level_air,
surface air,http://purl.oclc.org/NET/ssnx/cf/cf-feature#surface_air,
tropopause air,http://purl.oclc.org/NET/ssnx/cf/cf-feature#tropopause_air,
air density,http://purl.oclc.org/NET/ssnx/cf/cf-property#air_density,The amount of air in per cubic volume
air potential temperature,http://purl.oclc.org/NET/ssnx/cf/cf-property#air_potential_temperature,Potential temperature is the temperature a parcel of air or sea water would have if moved adiabatically to sea level pressure.
air pressure,http://purl.oclc.org/NET/ssnx/cf/cf-property#air_pressure,
air pressure anomaly,http://purl.oclc.org/NET/ssnx/cf/cf-property#air_pressure_anomaly,anomaly means difference from climatology.
air temperature,http://purl.oclc.org/NET/ssnx/cf/cf-property#air_temperature,"Air temperature is the bulk temperature of the air, not the surface (skin) temperature."
air temperature anomaly,http://purl.oclc.org/NET/ssnx/cf/cf-property#air_temperature_anomaly,"anomaly means difference from climatology. Air temperature is the bulk temperature of the air, not the surface (skin) temperature."
air temperature threshold,http://purl.oclc.org/NET/ssnx/cf/cf-property#air_temperature_threshold,"Air temperature is the bulk temperature of the air, not the surface (skin) temperature. Air temperature excess and deficit are calculated relative to the air temperature threshold."
angstrom exponent of ambient aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#angstrom_exponent_of_ambient_aerosol_in_air," Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Ambient aerosol is aerosol that has taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the aerosol. The Angstrom exponent appears in the formula relating aerosol optical thickness to the wavelength of incident radiation: T(lambda) = T(lambda0) * [lambda/lambda0] ** (-1 * alpha) where alpha is the Angstrom exponent, lambda is the wavelength of incident radiation, lambda0 is a reference wavelength, T(lambda) and T(lambda0) are the values of aerosol optical thickness at wavelengths lambda and lambda0, respectively."
downward eastward momentum flux in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#downward_eastward_momentum_flux_in_air,"Eastward indicates a vector component which is positive when directed eastward (negative westward). Downward indicates a vector component which is positive when directed downward (negative upward). Downward eastward indicates the ZX component of a tensor. Momentum flux is dimensionally equivalent to stress and pressure. It is a tensor quantity. In accordance with common usage in geophysical disciplines, flux implies per unit area, called flux density in physics."
downward heat flux in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#downward_heat_flux_in_air,"Downward indicates a vector component which is positive when directed downward (negative upward). The vertical heat flux in air is the sum of all heat fluxes i.e. radiative, latent and sensible. In accordance with common usage in geophysical disciplines, flux implies per unit area, called flux density in physics."
downward northward momentum flux in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#downward_northward_momentum_flux_in_air,"Northward indicates a vector component which is positive when directed northward (negative southward). Downward indicates a vector component which is positive when directed downward (negative upward). Downward northward indicates the ZY component of a tensor. Momentum flux is dimensionally equivalent to stress and pressure. It is a tensor quantity. In accordance with common usage in geophysical disciplines, flux implies per unit area, called flux density in physics."
downward water vapor flux in air due to diffusion,http://purl.oclc.org/NET/ssnx/cf/cf-property#downward_water_vapor_flux_in_air_due_to_diffusion,"The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. Downward indicates a vector component which is positive when directed downward (negative upward). In accordance with common usage in geophysical disciplines, flux implies per unit area, called flux density in physics."
downwelling longwave flux in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#downwelling_longwave_flux_in_air,"longwave means longwave radiation. Downwelling radiation is radiation from above. It does not mean net downward. When thought of as being incident on a surface, a radiative flux is sometimes called irradiance. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called vector irradiance. In accordance with common usage in geophysical disciplines, flux implies per unit area, called flux density in physics."
downwelling longwave flux in air assuming clear sky,http://purl.oclc.org/NET/ssnx/cf/cf-property#downwelling_longwave_flux_in_air_assuming_clear_sky,"Downwelling radiation is radiation from above. It does not mean net downward.  When thought of as being incident on a surface, a radiative flux is sometimes called irradiance.  In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called vector irradiance.  In accordance with common usage in geophysical disciplines, flux implies per unit area, called flux density in physics.  A phrase assuming_condition  indicates that the named quantity is the value which would obtain if all  aspects of the system were unaltered except for the assumption of the  circumstances specified by the condition.  longwave means longwave radiation. "
